distance,sdX,meanX,sdY,meanY,abnormal
5,0.5222,0.7044,0.5824,0.816,0
10,0.3944,0.5281,0.5874,0.6846,0
15,0.3722,0.4707,0.4849,0.6383,0
20,0.3783,0.5007,0.443,0.6312,0
25,0.3217,0.4615,0.5585,0.8583,0
30,0.3936,0.5346,0.5149,0.6749,0
35,0.5834,0.9633,0.2738,7.4023,0
40,0.4518,0.9817,0.2392,7.3948,0
45,0.454,0.4434,0.2139,6.9767,0
50,0.4652,0.4429,0.1973,6.7905,0
55,0.7095,0.8335,1.3776,6.2682,0
60,0.5483,0.8907,2.215,4.402,0
65,0.4749,1.0745,2.0552,4.0913,0
70,0.4575,0.6184,0.7587,3.8231,0
75,0.3284,0.2147,0.2836,3.6858,0
80,0.5693,0.5242,1.1736,2.2902,0
85,0.4196,0.7774,0.4854,0.764,0
90,0.2718,0.9422,0.208,0.3031,0
95,0.4467,0.3184,0.4307,0.6732,0
100,0.6031,0.9623,0.1769,1.1657,0
5,0.4168,0.6762,0.5762,1.9713,0
10,0.3578,0.8582,0.3467,2.0885,0
15,0.4366,0.5727,0.9181,1.7646,0
20,0.4973,0.7645,1.1851,1.1968,0
25,0.5598,0.6722,0.3238,0.5456,0
30,0.3669,0.5424,0.5313,0.871,0
35,0.4373,0.6076,0.4865,0.7558,0
40,0.2828,0.4672,0.5203,0.8027,0
45,0.4179,0.6624,0.5476,0.8241,0
50,0.4814,0.5396,0.4718,0.9735,0
55,0.4065,0.6046,0.4349,0.8409,0
60,0.2607,0.3617,0.4499,0.7276,0
65,0.5,0.6063,0.4185,0.5736,0
70,0.3357,0.4416,0.5105,0.8415,0
75,0.3548,0.4476,0.4414,0.6029,0
80,0.2441,0.3025,0.396,0.4909,0
85,0.3412,0.4103,0.5414,0.7502,0
90,0.4291,0.5856,0.3361,0.6309,0
95,0.341,0.5961,0.6508,0.8661,0
100,0.4462,0.7304,0.4318,0.749,0
5,0.6547,0.7487,0.7846,1.3445,0
10,0.5662,0.7371,0.5544,0.7822,0
15,0.2733,0.3371,0.3463,0.4565,0
20,0.448,0.6565,0.3537,0.4571,0
25,0.3462,0.4748,0.3977,0.4198,0
30,0.5334,0.5736,0.4704,0.7573,0
35,0.3713,0.5585,0.718,0.9904,0
40,0.3802,0.6441,0.5573,0.8054,0
45,0.2931,0.4223,0.6693,0.7548,0
50,0.61,0.9352,0.5948,0.9465,0
55,0.4917,0.7854,0.6634,0.9247,0
60,0.3215,0.4787,0.5519,0.6061,0
65,0.2066,0.3915,0.3719,0.4977,0
70,0.3952,0.476,0.3561,0.3964,0
75,0.3424,0.3971,0.4003,0.5967,0
80,0.3806,0.4906,0.4205,0.5956,0
85,0.3214,0.4208,0.4303,0.677,0
90,0.4128,0.4935,0.6365,0.8225,0
95,0.3259,0.4518,0.3739,0.6049,0
100,0.356,0.4817,0.5291,0.7216,0
5,0.317,0.3911,0.5202,0.7429,0
10,0.4021,0.5116,0.3112,0.5151,0
15,0.4473,0.5108,0.3581,0.5088,0
20,0.3951,0.634,0.4988,0.6157,0
25,0.3959,0.5013,0.4166,0.7609,0
30,0.3118,0.5417,0.5211,0.6458,0
35,0.3695,0.5023,0.5906,0.7448,0
40,0.3549,0.4677,0.7783,1.2014,0
45,0.2991,0.4294,0.4498,1.507,0
50,0.2517,0.3525,0.4295,0.689,0
55,0.3227,0.3614,0.4701,0.6599,0
60,0.404,0.4162,0.3982,0.9548,0
65,0.4198,0.481,0.619,0.798,0
70,0.4132,0.6637,0.6847,0.8099,0
75,0.365,0.4751,0.5298,0.8402,0
80,0.3666,0.5808,0.3801,0.5944,0
85,0.3418,0.423,0.3522,0.5119,0
90,0.4984,0.579,0.4394,0.7337,0
95,0.3587,0.5307,0.4517,0.6619,0
100,0.4358,0.6258,0.306,0.351,0
5,0.5515,0.6052,0.424,0.6986,0
10,0.4498,0.6789,0.5171,0.6277,0
15,0.608,0.6166,0.387,0.6381,0
20,0.3873,0.5293,0.4387,0.4975,0
25,0.4544,0.6008,0.4251,0.6596,0
30,0.4403,0.5304,0.3109,0.437,0
35,0.3889,0.5186,0.4641,0.7797,0
40,0.4564,0.707,0.5384,0.7683,0
45,0.4529,0.621,0.9411,1.0742,0
50,0.3433,0.5586,0.6649,0.9258,0
55,0.3924,0.5131,0.8533,1.1546,0
60,0.4434,0.6678,0.415,0.8547,0
65,0.3221,0.4396,0.6434,1.0544,0
70,0.2573,0.2933,0.4395,0.9497,0
75,0.351,0.4011,0.6054,0.834,0
80,0.356,0.5553,0.5569,0.7497,0
85,0.5141,0.5699,0.4354,0.6607,0
90,0.5858,0.5826,0.477,0.597,0
95,0.2962,0.3937,0.3689,0.473,0
100,0.214,0.3481,0.2793,0.4431,0
10,0.3115,0.4149,0.4156,0.3711,0
20,0.3573,0.5181,0.3935,0.5427,0
30,0.3161,0.4571,0.4844,0.5217,0
40,0.3192,0.4005,0.3758,0.469,0
50,0.2642,0.4325,0.3991,0.5404,0
60,0.4117,0.4984,0.2718,0.4261,0
10,0.899,0.7562,0.665,0.9222,1
20,0.7304,0.8278,0.8252,0.9946,1
30,0.5504,0.6514,0.7446,0.836,1
40,0.6614,0.7455,0.6968,0.8149,1
50,0.8731,0.9865,1.0097,1.185,1
60,0.8373,0.8483,0.9689,1.0359,1
5,0.6345,0.915,1.5674,3.2723,1
10,0.3445,0.6199,0.5141,2.7462,1
15,0.4695,0.9031,0.9686,1.5277,1
20,1.0316,1.9205,0.6224,1.1462,1
25,1.2694,1.2417,0.5979,1.2205,1
30,0.3843,0.8245,0.5478,1.9618,1
35,0.3575,0.5002,0.6659,1.8252,1
40,0.3507,0.3534,0.28,1.6919,1
45,0.3762,0.5433,0.7994,1.8049,1
50,0.6987,2.1625,0.7344,1.7725,1
55,0.6871,1.187,0.6816,0.8946,1
60,0.3783,0.6173,0.3987,0.627,1
65,0.9856,1.091,1.2021,1.4194,1
70,1.0215,1.8348,0.564,1.0185,1
75,1.5169,2.5481,1.1608,1.7654,1
80,0.7042,1.9582,0.5009,2.1891,1
85,0.7661,1.4656,0.5763,0.73,1
90,0.4832,0.9231,0.5301,0.9261,1
95,0.5316,0.8918,0.5374,0.5909,1
100,0.5015,0.7451,0.5812,0.7178,1
5,0.5162,0.6754,0.5611,0.6312,1
10,0.606,1.0919,0.4944,0.8331,1
15,0.5627,0.6542,0.8524,1.5012,1
20,0.7971,1.3199,0.8273,3.3991,1
25,0.6241,1.56,0.7266,2.5179,1
30,0.7833,1.1319,0.6123,3.6954,1
