latitude,longitude,track_id, direction
6.795038,79.9000545,1, 290.5
6.795149,79.8997885,1, 289.3
6.795308,79.8993845,1, 288.5
6.795451,79.8989725,1, 291.3
6.795576,79.8984175,1, 290.1
6.795613,79.8980985,1, 289.9
6.7956643,79.8981726,1, 289.3
6.795692,79.8975555,1, 288.8
6.795789,79.8971865,1, 289.5
6.795915,79.8967335,1, 289.4
6.796066,79.8963365,1, 288.1
6.796191,79.8959415,1, 288.5
6.796322,79.8953865,1, 290.2
6.796431,79.8947225,1, 289.8
6.796655,79.8940155,1, 290.3
6.796873,79.8930885,1, 291.1
6.797249,79.8922785,1, 290.1
6.7976093,79.8897112,1, 270.5
6.797761,79.8907935,1, 230.4
6.797714,79.8898735,1, 240.5
6.797564,79.8890745,1, 265.5
6.797494,79.8886765,1, 266.6
6.79733, 79.88852, 2, 190.4
6.79702, 79.88848, 2, 187.3
6.79668, 79.88842, 2, 201.5
6.79643, 79.88834, 2, 200.4
6.7962, 79.88824, 2, 199.4
6.79598, 79.88814, 2, 199.8
6.79572, 79.88805, 2, 200.3
6.79552, 79.88796, 2, 201.4
6.79531, 79.88787, 2, 200.3
6.79522, 79.88784, 2, 201.3
6.79505, 79.88777, 2, 204.1
6.79489, 79.8877, 2, 203.4
6.79469, 79.88762, 2, 203.8
6.79451, 79.88753, 2, 202.7
6.79426, 79.88744, 2, 201.4
6.79405, 79.88733, 2, 199.4
6.7939, 79.88726, 2, 195.4
6.79373, 79.8872, 2, 197.3
6.79356, 79.88714, 2, 200.4
6.79333, 79.88707, 2, 190.4
6.79311, 79.88698, 2, 195.3
6.79292, 79.8869, 2, 196.4
6.79273, 79.88683, 2, 198.9
6.79254, 79.88677, 2, 200.3
6.79233, 79.88669, 2, 197.4
6.79216, 79.88663, 2, 199.2
6.79197, 79.88656, 2, 198.3
6.7918, 79.8865, 2, 199.4
6.7916, 79.88643, 2, 200.2
6.7914, 79.88635, 2, 201.2
6.79117, 79.88627, 2, 200.1
6.79101, 79.88621, 2, 199.3
6.79078, 79.88612, 2, 203.1
6.79058, 79.88602, 2, 202.3
6.79034, 79.88594, 2, 200.4
6.79019, 79.88586, 2, 198.5
6.78997, 79.88578, 2, 199.3
6.7897, 79.88567, 2, 198.3
6.78946, 79.88554, 2, 198.2
6.78921, 79.88546, 2, 198.9
6.78904, 79.88538, 2, 200.4
6.78882, 79.88529, 2, 201.4
6.78852, 79.88517, 2, 198.3
6.78816, 79.88501, 2, 200.4
6.78792, 79.88536, 3, 108.3
6.78787, 79.88557, 3, 107.5
6.78781, 79.88576, 3, 106.5
6.78774, 79.88597, 3, 107.4
6.78766, 79.88619, 3, 108.3
6.78758, 79.8864, 3, 108.9
6.78759, 79.8867, 3, 107.4
6.78763, 79.887, 3, 83.0
6.7877, 79.88733, 3, 84.2
6.78775, 79.8876, 3, 84.4
