distance,sdX,meanX,sdY,meanY
5,0.3222,0.5044,0.5824,0.616
10,0.3944,0.5281,0.5874,0.6846
15,0.3722,0.4707,0.4849,0.6383
20,0.3783,0.5007,0.443,0.6312
25,0.3217,0.4615,0.5585,0.8583
30,0.3936,0.5346,0.5149,0.6749
35,0.5834,0.9633,0.2738,7.4023
40,0.4518,0.9817,0.2392,7.3948
45,0.554,0.4434,0.2139,6.9767
50,0.4652,0.4429,0.1973,6.7905
5,0.4168,0.6762,0.5762,1.9713
10,0.3578,0.8582,0.3467,2.0885
15,0.4366,0.5727,0.9181,1.7646
20,0.4973,0.7645,1.1851,1.1968
25,0.5598,0.6722,0.3238,0.5456
30,0.3669,0.5424,0.5313,0.871
35,0.4373,0.6076,0.4865,0.7558
40,0.2828,0.4672,0.5203,0.8027
45,0.4179,0.6624,0.5476,0.8241
50,0.4814,0.5396,0.4718,0.9735
5,0.6547,0.7487,0.7846,1.3445
10,0.5662,0.7371,0.5544,0.7822
15,0.2733,0.3371,0.3463,0.4565
20,0.448,0.6565,0.3537,0.4571
25,0.3462,0.4748,0.3977,0.4198
30,0.5334,0.5736,0.4704,0.7573
35,0.3713,0.5585,0.718,0.9904
40,0.3802,0.6441,0.5573,0.8054
45,0.2931,0.4223,0.6693,0.7548
50,0.61,0.9352,0.5948,0.9465
55,0.6871,1.187,0.6816,0.8946
60,0.7783,0.6173,0.5987,0.627
65,0.9856,1.091,1.2021,1.4194
70,1.0215,1.8348,0.564,1.0185
75,1.5169,2.5481,1.1608,1.7654
80,0.7042,1.9582,0.5009,2.1891
85,0.7661,1.4656,0.5763,0.73
90,0.4832,0.9231,0.5301,0.9261
95,0.5316,0.8918,0.5374,0.5909
100,0.5015,0.7451,0.5812,0.7178
55,0.621,1.0075,0.3889,3.5541
60,0.5687,0.9732,1.3686,3.7416
65,0.6895,1.4849,0.603,3.2628
70,0.4788,1.568,0.632,3.5472
75,0.4926,1.798,0.9216,3.6269
80,0.5865,1.2307,0.8046,3.5466
85,0.3837,0.4646,1.064,4.2595
90,0.4294,0.6589,0.9219,3.8128
95,0.4568,0.5367,1.0014,4.7401
100,0.1749,0.2945,0.7311,4.8268
55,0.8308,1.5418,0.5425,3.3641
60,0.7267,0.9913,0.4548,2.6111
65,0.7036,1.0991,0.677,1.0281
70,1.1465,1.4619,0.9366,1.1778
75,0.7744,1.209,0.702,0.8483
80,1.1382,1.4464,0.672,1.0453
85,1.8021,1.8171,0.7439,0.9303
90,1.1259,1.6987,0.8453,1.2386
95,1.2787,1.4981,0.5083,1.005
100,1.0236,1.3962,0.8901,1.3335
105,0.3924,0.5131,0.8533,1.1546
110,0.4434,0.6678,0.415,0.8547
115,0.3221,0.4396,0.6434,1.0544
120,0.2573,0.2933,0.4395,0.9497
125,0.351,0.4011,0.6054,0.834
130,0.356,0.5553,0.5569,0.7497
135,0.3141,0.5699,0.4354,0.6607
140,0.3858,0.5826,0.477,0.597
145,0.2962,0.3937,0.3689,0.473
150,0.214,0.3481,0.2793,0.4431
105,0.3227,0.3614,0.4701,0.6599
110,0.404,0.4162,0.3982,0.9548
115,0.4198,0.481,0.619,0.798
120,0.4132,0.6637,0.6847,0.8099
125,0.365,0.4751,0.5298,0.8402
130,0.3666,0.5808,0.3801,0.5944
135,0.3418,0.423,0.3522,0.5119
140,0.3984,0.579,0.4394,0.7337
145,0.3587,0.5307,0.4517,0.6619
150,0.4358,0.6258,0.306,0.351
105,0.4917,0.7854,0.6634,0.9247
110,0.3215,0.4787,0.5519,0.6061
115,0.2066,0.3915,0.3719,0.4977
120,0.3952,0.476,0.3561,0.3964
125,0.3424,0.3971,0.4003,0.5967
130,0.3806,0.4906,0.4205,0.5956
135,0.3214,0.4208,0.4303,0.677
140,0.3128,0.4935,0.4365,0.8225
145,0.3259,0.4518,0.3739,0.6049
150,0.356,0.4817,0.5291,0.7216
