distance,X,Y,Z,V,max,may,maz,mav
0.139,0.09098,4.261679,8.336611,9.363187,0.377,4.411,8.633,9.709
0.161,-0.076614,4.606444,8.135497,9.349412,0.146,4.342,8.467,9.521
0.182,0.095768,4.309563,8.030152,9.113992,0.079,4.294,8.266,9.32
0.199,-0.043096,4.209007,8.197746,9.215239,0.017,4.347,8.175,9.26
0.219,-0.158017,4.161122,8.705317,9.649998,-0.045,4.322,8.267,9.332
0.239,0.081403,4.118027,8.619126,9.552701,-0.006,4.199,8.388,9.383
0.259,0.507571,4.161122,8.140285,9.156244,0.097,4.162,8.416,9.394
0.279,0.493206,4.635174,8.2169,9.446985,0.231,4.269,8.42,9.451
0.299,0.234632,4.328717,8.465898,9.51127,0.329,4.311,8.361,9.417
0.324,0.248997,4.055778,8.681376,9.585281,0.371,4.295,8.376,9.425
0.339,0.445322,4.060566,8.710106,9.620418,0.356,4.27,8.519,9.541
0.359,1.01993,4.060566,10.936713,11.710685,0.487,4.126,9.199,10.107
0.379,0.584185,4.912902,9.461885,10.677319,0.575,4.272,9.448,10.398
0.399,2.863465,4.908113,9.083601,10.714515,1.228,4.486,9.548,10.681
0.419,0.483629,4.328717,7.345411,8.539716,1.238,4.553,9.207,10.411
0.439,0.033519,4.443638,7.393295,8.625999,0.991,4.648,8.321,9.639
0.459,0.263362,4.568137,8.671799,9.804965,0.911,4.562,8.124,9.421
0.479,0.857124,4.34787,9.323022,10.322663,0.409,4.422,8.183,9.323
0.5,0.770933,4.027047,9.528923,10.373612,0.481,4.347,8.729,9.782
0.519,0.201113,4.367024,8.90643,9.921484,0.523,4.328,9.108,10.106
0.539,0.847547,4.654328,7.747637,9.077829,0.669,4.349,8.877,9.924
0.759,0.225055,4.376601,8.90643,9.926217,0.261,4.403,9.072,10.093
0.779,0.656011,4.616021,8.576031,9.76147,0.232,4.422,8.965,10.005
0.799,1.106121,4.553771,8.09719,9.35547,0.467,4.457,8.637,9.745
0.819,1.35033,4.67827,7.790732,9.187226,0.834,4.556,8.343,9.558
0.839,1.091756,4.745308,8.307879,9.62968,1.051,4.648,8.193,9.483
0.859,0.78051,4.472369,9.002198,10.082205,1.082,4.612,8.3,9.564
0.879,0.440533,4.333505,8.853758,9.867237,0.916,4.557,8.489,9.692
0.9,0.497994,4.515464,8.101978,9.288674,0.703,4.517,8.566,9.717
0.919,0.56982,4.261679,7.685388,8.806349,0.572,4.396,8.411,9.511
0.939,0.35913,4.22816,7.680599,8.774846,0.467,4.335,8.08,9.184
0.959,0.196325,4.041412,8.513782,9.426348,0.406,4.262,7.995,9.074
0.979,-0.531513,3.902549,9.437943,10.226787,0.148,4.108,8.329,9.309
0.999,-0.814029,4.065354,10.223241,11.031972,-0.198,4.059,8.964,9.865
1.019,-0.387861,3.912126,9.303867,10.100352,-0.384,3.98,9.37,10.196
1.039,-0.158017,3.89776,8.844181,9.666284,-0.473,3.944,9.452,10.256
1.059,-0.560243,3.969586,9.682152,10.479292,-0.48,3.961,9.513,10.319
1.079,-0.507571,4.012682,9.442732,10.272508,-0.403,3.948,9.318,10.13
1.099,-0.162806,3.979163,8.892065,9.743155,-0.347,3.965,9.215,10.04
1.119,-0.019154,3.969586,8.753201,9.61127,-0.312,3.983,9.193,10.027
1.139,0.09098,4.041412,8.374918,9.299492,-0.15,4.001,8.866,9.732
1.159,-0.483629,3.89776,9.409213,10.196064,-0.144,3.972,8.857,9.712
1.179,-0.316035,3.739743,9.394848,10.116755,-0.182,3.912,8.983,9.806
1.2,0.009577,3.888184,9.241618,10.026244,-0.175,3.892,9.105,9.91
1.219,-0.047884,3.854665,8.791509,9.59955,-0.209,3.845,9.209,9.985
1.239,-0.225055,3.725378,8.585608,9.361717,-0.145,3.802,9.003,9.776
1.259,-0.205901,4.012682,8.992621,9.849429,-0.117,3.87,8.903,9.709
1.279,-0.225055,4.070143,9.165004,10.030653,-0.176,3.916,8.884,9.71
1.301,0.043096,3.979163,9.270349,10.088357,-0.153,3.947,9.003,9.833
1.319,0.124498,3.921702,9.074024,9.886008,-0.066,3.996,9.125,9.964
1.338,0.296881,3.931279,8.226477,9.122391,0.06,3.976,8.934,9.782
1.358,0.124498,3.907337,8.274361,9.151384,0.147,3.935,8.711,9.562
1.379,0.153229,4.103662,8.834604,9.742369,0.175,3.966,8.602,9.476
1.399,0.349553,4.180276,9.002198,9.93159,0.231,4.031,8.584,9.487
1.419,0.129287,4.161122,9.011775,9.92692,0.189,4.088,8.781,9.688
1.442,0.3304,4.060566,8.820239,9.715656,0.241,4.126,8.917,9.829
1.459,0.272939,4.113238,8.676587,9.60606,0.271,4.129,8.878,9.795
1.479,0.009577,4.022259,8.073248,9.019755,0.186,4.089,8.645,9.567
1.499,-0.043096,4.012682,8.470686,9.373152,0.142,4.052,8.51,9.429
