time,X,Y,Z,V,max,may,maz,mav
1560719132,3.361459,-5.003881,-4.381389,7.452168,4.389,-4.781,-4.82,8.135
1560191099,4.381389,-1.68073,-2.078167,5.132271,4.551,-3.876,-4.171,7.42
1560572606,0.699107,-6.550536,-5.612009,8.654069,3.364,-4.366,-4.13,7.291
1561406515,1.810017,-9.68694,-7.31668,12.273825,2.563,-5.731,-4.847,8.378
1560059402,2.207454,-16.136919,-2.494758,16.477161,2.274,-8.514,-4.375,10.634
1560087499,7.115568,-14.939818,-1.704672,16.635365,2.958,-11.829,-4.282,13.51
1561145122,3.921702,-14.408306,-5.099649,15.779273,3.764,-13.793,-4.154,15.291
1559733784,2.63841,-11.688493,-4.802769,12.909247,3.971,-14.293,-3.525,15.45
1561034861,2.892196,-8.236053,-4.668694,9.899196,4.142,-12.318,-4.069,13.806
1561529657,1.364695,-6.71813,-5.784391,8.969663,2.704,-10.263,-5.089,11.889
1559956530,2.987964,-5.750873,-5.573701,8.547901,2.471,-8.098,-5.207,10.082
1561579644,3.169923,-8.465898,-4.381389,10.045716,2.604,-7.293,-5.102,9.366
1559367796,2.1883,-8.992621,-5.003881,10.521156,2.428,-7.482,-5.186,9.521
1559901937,2.236184,-7.891289,-5.415684,9.828662,2.646,-7.775,-5.094,9.736
1559624857,1.130063,-6.426037,-4.711789,8.048103,2.181,-7.944,-4.878,9.611
1559618015,2.394202,-7.910442,-4.88896,9.602564,1.987,-7.805,-5.005,9.5
1559634783,2.552219,-8.925584,-5.262455,10.671144,2.078,-7.788,-5.07,9.538
1559755356,2.853889,-8.480263,-5.401319,10.451497,2.233,-7.936,-5.066,9.693
1559483714,2.480393,-7.852982,-5.018247,9.643883,2.57,-8.292,-5.143,10.092
1560824813,1.264138,-8.983045,-6.100426,10.931987,2.288,-8.56,-5.446,10.425
1561577419,1.321599,-7.254431,-5.535394,9.220303,1.98,-8.143,-5.514,10.062
1559555650,1.853112,-5.568913,-5.449203,8.008784,1.73,-7.415,-5.526,9.451
1559360603,2.542642,-6.47871,-4.592079,8.338219,1.745,-7.071,-5.419,9.125
1560004074,2.422932,-9.394848,-6.742072,11.814791,2.035,-7.174,-5.58,9.346
1561035839,2.044648,-9.940725,-5.60722,11.594806,2.216,-7.846,-5.598,9.939
1560368593,4.175488,-1.929727,-9.840169,10.862204,2.796,-6.936,-6.695,10.653
1560204290,3.141193,-5.061342,-5.889736,8.376948,2.946,-6.582,-7.02,10.662
1561077713,-0.325611,-5.190629,-5.770026,7.768002,2.259,-5.531,-6.777,9.65
1560567280,1.613692,-9.552865,-7.991845,12.559093,2.151,-5.434,-7.373,9.892
1561586096,-1.393425,-7.623138,-3.385401,8.456643,0.759,-6.857,-5.759,9.29
1560084050,-0.268151,-6.856994,-7.603985,10.2426,-0.093,-7.306,-6.188,9.757
1560459587,0.086191,-8.805874,-5.195418,10.224638,0.01,-8.21,-6.044,10.371
1560232471,1.474828,-8.762778,-5.142745,10.2669,-0.025,-8.012,-5.332,9.798
1561083585,0.593762,-3.007117,-5.956774,6.699139,0.472,-6.858,-5.975,9.358
1559228824,-0.454898,-1.388637,-6.26802,6.436095,0.425,-5.491,-5.641,8.407
1561171011,1.053449,-13.335704,-6.181829,14.736545,0.667,-6.624,-5.887,9.535
1559412651,4.19943,-11.03727,-3.854665,12.422358,1.348,-7.192,-5.565,10.074
1559685197,1.086968,10.271125,-11.798626,15.680723,1.471,-3.873,-7.026,12.319
1561263658,-6.919243,-22.629995,-10.984597,26.089346,-0.145,-9.183,-8.205,17.232
1561099520,-4.472369,-27.035326,-0.277727,27.404162,-1.526,-12.608,-6.729,20.399
1560863412,9.423578,-8.432379,-6.564901,14.248045,2.103,-17.125,-5.721,20.821
1561270034,2.427721,-3.854665,-6.976704,8.332266,4.44,-12.431,-4.719,16.381
1559797856,2.035071,-4.031836,-7.771579,8.988584,6.067,-6.68,-6.592,11.777
1561552814,-0.23942,-4.333505,-6.785168,8.054508,3.412,-5.163,-7.025,9.906
1561017693,1.039083,-9.629479,-6.785168,11.825611,1.316,-5.462,-7.08,9.3
1560845502,2.27928,-8.087613,-6.92882,10.890966,1.279,-6.521,-7.068,9.94
1560912520,1.182736,-5.018247,-6.746861,8.491277,1.065,-6.767,-6.812,9.816
1560118840,0.167594,-4.898537,-6.253655,7.945562,1.167,-6.908,-6.679,9.788
1561047845,-0.770933,-4.098873,-6.459556,7.689016,0.715,-5.526,-6.597,8.754
1560585174,-1.312023,-4.539406,-7.201759,8.613532,-0.183,-4.639,-6.665,8.185
1561161012,2.097321,-8.681376,-7.728483,11.810779,0.045,-5.555,-6.911,9.015
1560263902,2.466028,-9.050082,-7.852982,12.23334,0.62,-6.592,-7.311,10.087
1560209370,3.241749,-9.289502,-8.159439,12.782028,1.623,-7.89,-7.736,11.36
1559371546,0.632069,-4.41012,-6.847417,8.169197,2.109,-7.858,-7.647,11.249
1560607833,1.49877,-8.09719,-7.331046,11.025199,1.96,-7.712,-7.548,11.052
1560213987,0.833182,-6.435614,-7.426814,9.862498,1.551,-7.058,-7.441,10.46
1559832290,0.02873,-7.82904,-7.129933,10.589175,0.748,-6.693,-7.184,9.912
1561292675,0.612916,-7.445967,-7.321469,10.460497,0.743,-7.452,-7.302,10.484
1560110227,0.924162,-7.469909,-7.015011,10.289023,0.6,-7.295,-7.223,10.3
1561764756,1.005565,-6.200983,-7.010222,9.413106,0.643,-7.236,-7.119,10.188
1559663386,1.063026,-5.889736,-7.019799,9.224782,0.901,-6.752,-7.092,9.847
1561628098,1.292869,-5.046977,-7.560889,9.182076,1.071,-6.152,-7.151,9.527
1559483669,0.976834,-6.416461,-7.206547,9.698427,1.085,-5.889,-7.199,9.38
1559780204,0.368707,-7.005434,-7.254431,10.091522,0.925,-6.09,-7.26,9.549
1560117139,0.670376,-7.354988,-7.302315,10.386003,0.827,-6.456,-7.331,9.84
1560898650,0.742203,-6.555324,-7.220912,9.780834,0.69,-6.833,-7.246,9.989
1560283371,0.253785,-5.822699,-7.40766,9.425585,0.509,-6.685,-7.296,9.921
1561095846,0.914585,-7.062895,-7.896077,10.63339,0.645,-6.699,-7.457,10.056
1559478540,0.584185,-6.971915,-7.76679,10.453321,0.624,-6.603,-7.573,10.073
1561564502,0.708684,-6.971915,-7.244854,10.079571,0.615,-6.707,-7.579,10.148
1561032499,0.430956,-6.742072,-7.31668,9.958668,0.66,-6.937,-7.556,10.281
1559324022,1.312023,-6.83784,-6.80911,9.738657,0.759,-6.881,-7.284,10.058
1561326833,0.775721,-6.924031,-6.914454,9.815988,0.807,-6.869,-7.071,9.898
1561017106,0.986411,-6.177041,-7.062895,9.434687,0.876,-6.67,-7.026,9.737
1560142148,1.359907,-6.665458,-6.770802,9.597991,1.109,-6.651,-6.889,9.647
1560140330,0.751779,-6.775591,-7.61835,10.223163,0.968,-6.636,-7.092,9.768
1560422597,0.215478,-6.780379,-8.159439,10.611146,0.828,-6.6,-7.403,9.967
1560173212,0.976834,-6.521805,-7.800309,10.214351,0.826,-6.686,-7.587,10.162
1560796325,0.790087,-6.454768,-7.40766,9.857063,0.684,-6.633,-7.746,10.226
1559630055,0.78051,-6.454768,-7.862558,10.2026,0.691,-6.553,-7.807,10.221
1561092822,0.837971,-6.512228,-8.044518,10.38391,0.846,-6.486,-7.779,10.164
1561098540,0.560243,-6.646304,-8.054094,10.457326,0.742,-6.517,-7.842,10.225
1559246763,1.206678,-5.521029,-7.8865,9.702305,0.846,-6.284,-7.962,10.187
1559711670,0.531513,-6.330269,-8.020576,10.231542,0.784,-6.252,-8.001,10.194
1559957048,0.488417,-6.258443,-7.953538,10.132395,0.697,-6.189,-7.979,10.131
1561770999,0.708684,-6.042965,-7.771579,9.87001,0.734,-6.038,-7.908,9.984
1560558091,1.192312,-6.110003,-8.082825,10.202244,0.73,-6.185,-7.957,10.109
1561291782,1.862689,-6.019023,-7.283162,9.630301,1.063,-6.108,-7.773,9.959
1561293412,1.513135,-5.765238,-8.686164,10.534562,1.319,-5.984,-7.956,10.059
1559616597,0.895431,-5.808333,-9.208099,10.923718,1.366,-5.926,-8.315,10.323
1559815752,0.632069,-5.688623,-8.2169,10.01386,1.226,-5.82,-8.349,10.276
1561638992,1.240196,-5.415684,-8.135497,9.8516,1.07,-5.669,-8.562,10.331
1560908423,1.460463,-5.386954,-8.576031,10.232327,1.057,-5.575,-8.534,10.255
1559507065,0.536301,-5.343858,-9.437943,10.859062,0.967,-5.459,-8.592,10.239
1559671769,0.833182,-4.960786,-9.409213,10.669437,1.018,-5.277,-8.89,10.403
1559361323,1.608904,-4.520253,-8.743625,9.973577,1.11,-5.053,-9.042,10.434
1559982230,1.824382,-4.323928,-8.523358,9.729972,1.201,-4.787,-9.029,10.308
1560209727,1.92015,-4.46758,-8.748413,10.009045,1.547,-4.568,-8.856,10.096
1560158858,1.685518,-4.419696,-9.643845,10.741435,1.76,-4.433,-8.915,10.114
1560711636,2.231396,-4.050989,-9.208099,10.304307,1.915,-4.316,-9.031,10.196
1559227846,2.059013,-3.294421,-8.690952,9.519738,1.974,-4.058,-9.073,10.144
1560326437,2.13084,-2.954445,-8.839393,9.560548,2.027,-3.68,-9.096,10.032
1561746268,1.92015,-3.241749,-9.002198,9.758867,2.085,-3.385,-8.935,9.786
1561297922,2.5187,-3.347094,-9.251195,10.155368,2.157,-3.209,-8.946,9.749
1559525855,2.839523,-3.069367,-8.695741,9.648824,2.352,-3.153,-8.947,9.781
1559559714,3.150769,-2.063802,-7.627927,8.507167,2.607,-2.931,-8.644,9.518
1560368299,2.691083,-1.431733,-7.790732,8.365841,2.8,-2.478,-8.341,9.169
1559857896,3.016694,-1.565808,-7.819463,8.526207,2.925,-2.033,-7.983,8.762
1561579130,2.911349,-0.727837,-8.350976,8.87381,2.942,-1.447,-7.897,8.568
1560587165,3.251326,-0.464475,-7.704541,8.375369,2.968,-1.047,-7.916,8.535
1559984958,2.949656,0.282516,-7.201759,7.78753,3.032,-0.619,-7.769,8.391
1561668957,2.245761,-0.756568,-8.250419,8.584011,2.84,-0.417,-7.877,8.405
1559774160,2.054225,-1.340753,-8.585608,8.929172,2.625,-0.57,-7.936,8.419
