distance,X,Y,Z,V,max,may,maz,mav
0,0.517148,4.639963,8.5473,9.739252,0.517,4.64,8.547,9.739
0.019,0.521936,4.544195,8.508993,9.660491,0.518,4.616,8.538,9.72
0.039,0.584185,4.616021,8.748413,9.908766,0.535,4.61,8.588,9.762
0.059,0.517148,4.395754,8.690952,9.753089,0.535,4.549,8.624,9.765
0.084,0.847547,4.884171,8.801085,10.101118,0.618,4.61,8.687,9.856
0.101,0.363919,4.501099,8.834604,9.921823,0.578,4.599,8.769,9.921
0.119,0.205901,3.998317,8.561666,9.45151,0.484,4.445,8.722,9.807
0.139,0.09098,4.261679,8.336611,9.363187,0.377,4.411,8.633,9.709
0.161,-0.076614,4.606444,8.135497,9.349412,0.146,4.342,8.467,9.521
0.182,0.095768,4.309563,8.030152,9.113992,0.079,4.294,8.266,9.32
0.199,-0.043096,4.209007,8.197746,9.215239,0.017,4.347,8.175,9.26
0.219,-0.158017,4.161122,8.705317,9.649998,-0.045,4.322,8.267,9.332
0.239,0.081403,4.118027,8.619126,9.552701,-0.006,4.199,8.388,9.383
0.259,0.507571,4.161122,8.140285,9.156244,0.097,4.162,8.416,9.394
0.279,0.493206,4.635174,8.2169,9.446985,0.231,4.269,8.42,9.451
0.299,0.234632,4.328717,8.465898,9.51127,0.329,4.311,8.361,9.417
0.324,0.248997,4.055778,8.681376,9.585281,0.371,4.295,8.376,9.425
0.339,0.445322,4.060566,8.710106,9.620418,0.356,4.27,8.519,9.541
0.359,1.01993,4.060566,10.936713,11.710685,0.487,4.126,9.199,10.107
0.379,0.584185,4.912902,9.461885,10.677319,0.575,4.272,9.448,10.398
0.399,2.863465,4.908113,9.083601,10.714515,1.228,4.486,9.548,10.681
0.419,0.483629,4.328717,7.345411,8.539716,1.238,4.553,9.207,10.411
0.439,0.033519,4.443638,7.393295,8.625999,0.991,4.648,8.321,9.639
0.459,0.263362,4.568137,8.671799,9.804965,0.911,4.562,8.124,9.421
0.479,0.857124,4.34787,9.323022,10.322663,0.409,4.422,8.183,9.323
0.5,0.770933,4.027047,9.528923,10.373612,0.481,4.347,8.729,9.782
0.519,0.201113,4.367024,8.90643,9.921484,0.523,4.328,9.108,10.106
0.539,0.847547,4.654328,7.747637,9.077829,0.669,4.349,8.877,9.924
0.564,0.526724,4.697424,7.642292,8.985982,0.587,4.436,8.456,9.59
0.579,-0.100556,4.127604,9.064447,9.960493,0.369,4.462,8.34,9.486
0.599,-0.067038,4.031836,9.442732,10.267686,0.302,4.378,8.474,9.573
0.619,-0.086191,4.362236,8.99741,9.999496,0.068,4.305,8.787,9.803
0.639,0.488417,4.520253,8.441956,9.588423,0.059,4.26,8.987,9.954
0.659,0.919373,4.726154,7.910442,9.260501,0.314,4.41,8.698,9.779
0.679,0.919373,4.395754,8.346188,9.477698,0.56,4.501,8.424,9.582
0.699,0.770933,4.539406,9.002198,10.111386,0.775,4.545,8.425,9.609
0.722,0.167594,4.414908,9.409213,10.394844,0.694,4.519,8.667,9.811
0.74,-0.11971,4.280833,8.968679,9.938665,0.435,4.408,8.932,9.981
